id,idade,genero,estado_civil,educacao,regime_trabalho,data_contratacao,data_demissao,tipo_demissao,cargo,salario_atual,data_ultimo_feedback,data_ultimo_aumento,data_ultima_mudanca_cargo,nota_avaliacao,acompanhamento_psicologo,qtde_projetos,qtde_clientes,nivel_satisfacao_gestor,churn
EMP0244,33,F,Divorciado(a),PhD,Híbrido,2020-11-01,2022-05-29,Voluntária,Data Scientist,21585,2021-03-26,2021-01-13,2021-01-01,7.4,True,2,3,9.2,1
EMP0487,44,F,Casado(a),Master,Remoto,2020-11-02,,,DevOps Engineer,20386,2023-11-30,2024-04-01,2023-10-18,8.7,False,7,7,3.2,0
EMP1081,32,Outro,Casado(a),PhD,Remoto,2020-11-02,,,QA Engineer,21040,2021-09-01,2024-01-06,2024-02-19,9.2,False,1,4,3.7,0
EMP1619,48,F,Casado(a),Master,Presencial,2020-11-02,2022-10-02,Involuntária,QA Engineer,7188,2022-03-31,2021-06-16,2021-04-07,6.2,False,8,2,7.2,1
EMP1128,36,Outro,Viúvo(a),Master,Remoto,2020-11-03,,,Product Manager,9112,2023-09-28,2022-03-10,2021-02-27,7.7,True,9,2,1.3,0
EMP1367,47,F,Divorciado(a),Master,Remoto,2020-11-03,,,UX Designer,13906,2021-11-20,2021-09-21,2022-11-14,9.3,True,8,1,3.0,0
EMP0957,24,F,Solteiro(a),Master,Presencial,2020-11-04,2020-12-17,Involuntária,UX Designer,21375,2020-11-30,2020-11-05,2020-11-18,7.9,True,1,5,2.5,1
EMP1908,47,F,Casado(a),Technical Degree,Híbrido,2020-11-06,,,DevOps Engineer,12226,2024-10-09,2022-09-12,2023-01-16,7.2,True,5,5,3.0,0
EMP1332,25,Outro,Casado(a),PhD,Híbrido,2020-11-08,,,Data Scientist,23014,2024-01-10,2024-01-12,2022-11-24,7.7,False,3,4,9.3,0
EMP0924,54,M,Casado(a),PhD,Remoto,2020-11-08,,,UX Designer,24051,2022-05-30,2021-04-28,2022-08-04,7.7,False,8,4,4.6,0
EMP0659,30,M,Viúvo(a),Bachelor,Híbrido,2020-11-09,,,Senior Developer,16017,2023-05-29,2024-04-02,2022-12-14,8.7,True,9,5,5.9,0
EMP1833,52,M,Solteiro(a),Technical Degree,Híbrido,2020-11-11,,,Tech Lead,8553,2022-06-24,2024-08-14,2021-07-26,8.5,True,3,2,5.3,0
EMP0464,43,Outro,Viúvo(a),Master,Presencial,2020-11-11,,,DevOps Engineer,15171,2021-10-09,2021-11-16,2024-09-29,8.3,True,4,5,2.6,0
EMP0272,45,F,Viúvo(a),Bachelor,Remoto,2020-11-11,,,Junior Developer,10276,2023-08-28,2022-07-01,2023-09-19,9.7,True,1,3,3.4,0
EMP1768,48,F,Divorciado(a),Bachelor,Remoto,2020-11-11,,,Data Scientist,8654,2021-12-05,2022-10-08,2023-07-29,6.7,True,5,6,1.8,0
EMP1570,54,Outro,Solteiro(a),Technical Degree,Remoto,2020-11-11,2024-05-19,Involuntária,Tech Lead,12750,2022-06-13,2022-09-02,2023-02-28,6.4,True,2,2,2.0,1
EMP0341,22,M,Solteiro(a),Master,Híbrido,2020-11-12,,,Tech Lead,11773,2023-03-11,2024-07-15,2021-06-02,9.2,False,3,3,8.7,0
EMP0687,29,Outro,Solteiro(a),PhD,Híbrido,2020-11-13,2022-06-30,Involuntária,Product Manager,24657,2021-05-25,2021-03-08,2020-12-15,8.7,False,1,3,7.5,1
EMP1499,46,F,Divorciado(a),Bachelor,Presencial,2020-11-14,,,Senior Developer,22404,2021-05-05,2024-07-17,2023-01-21,7.1,True,8,7,2.5,0
EMP1449,33,M,Casado(a),Technical Degree,Presencial,2020-11-15,2021-07-21,Voluntária,Data Scientist,5580,2020-12-15,2021-07-08,2020-12-05,6.1,True,6,2,7.7,1
EMP1047,35,F,Divorciado(a),PhD,Presencial,2020-11-17,,,Tech Lead,19598,2021-03-06,2021-06-12,2022-09-26,6.2,True,2,2,1.2,0
EMP0541,28,M,Viúvo(a),Bachelor,Presencial,2020-11-18,,,Junior Developer,5654,2024-10-22,2024-06-16,2021-11-09,9.0,True,3,6,3.5,0
EMP0977,28,M,Solteiro(a),Master,Híbrido,2020-11-18,,,Junior Developer,11391,2024-09-23,2022-08-03,2024-10-15,7.5,True,6,1,2.2,0
EMP0941,23,M,Divorciado(a),Master,Remoto,2020-11-18,,,Product Manager,6049,2022-04-24,2021-06-16,2024-02-06,8.1,False,7,3,1.4,0
EMP0040,44,M,Casado(a),Technical Degree,Híbrido,2020-11-19,,,Senior Developer,16261,2023-06-06,2020-11-25,2022-05-12,9.3,True,7,4,7.2,0
EMP0568,38,Outro,Solteiro(a),Technical Degree,Remoto,2020-11-19,,,DevOps Engineer,11743,2023-05-08,2023-03-20,2023-08-07,7.0,False,3,5,7.5,0
EMP1671,41,Outro,Viúvo(a),PhD,Híbrido,2020-11-19,,,QA Engineer,17406,2022-08-31,2021-04-06,2024-01-04,6.1,True,5,7,4.9,0
EMP1593,34,F,Viúvo(a),Technical Degree,Remoto,2020-11-19,,,Junior Developer,21491,2023-11-17,2024-03-31,2023-05-15,9.7,False,9,6,5.8,0
EMP0156,47,Outro,Divorciado(a),Technical Degree,Remoto,2020-11-21,,,Senior Developer,7989,2023-07-21,2023-05-31,2022-05-05,8.0,True,8,2,5.3,0
EMP0888,49,M,Casado(a),Technical Degree,Híbrido,2020-11-21,,,Product Manager,20200,2022-06-05,2021-05-31,2024-07-23,8.3,True,6,6,8.7,0
EMP1284,36,F,Viúvo(a),Bachelor,Híbrido,2020-11-22,,,DevOps Engineer,6242,2023-03-23,2023-12-09,2023-11-26,6.2,True,3,5,6.1,0
EMP1351,43,Outro,Divorciado(a),Bachelor,Remoto,2020-11-22,2021-12-23,Voluntária,DevOps Engineer,10151,2021-09-07,2021-09-07,2021-10-25,8.5,False,5,1,6.7,1
EMP0117,32,M,Viúvo(a),PhD,Presencial,2020-11-22,,,Junior Developer,22602,2021-07-01,2023-01-14,2021-02-09,9.8,False,9,7,6.9,0
EMP1962,36,Outro,Viúvo(a),PhD,Remoto,2020-11-23,,,DevOps Engineer,8321,2024-08-26,2021-02-19,2021-03-13,8.6,True,6,3,6.8,0
EMP1374,33,Outro,Solteiro(a),Bachelor,Híbrido,2020-11-25,,,UX Designer,8965,2021-08-27,2024-06-06,2023-10-10,8.8,False,5,3,4.9,0
EMP1321,24,F,Casado(a),Bachelor,Remoto,2020-11-25,,,Tech Lead,13727,2021-12-06,2022-02-20,2024-05-11,7.3,False,7,2,9.7,0
EMP1411,25,M,Divorciado(a),Master,Presencial,2020-11-27,,,Junior Developer,19727,2021-06-20,2022-02-09,2023-10-04,7.9,True,3,7,7.7,0
EMP1896,53,F,Divorciado(a),Master,Remoto,2020-11-27,,,Data Scientist,16845,2021-04-27,2022-06-17,2021-04-03,8.5,False,3,3,1.5,0
EMP0644,38,Outro,Divorciado(a),Master,Remoto,2020-11-28,,,Tech Lead,9491,2023-06-25,2024-07-17,2022-05-08,6.7,True,2,2,7.5,0
EMP0597,39,F,Viúvo(a),Bachelor,Remoto,2020-11-28,,,Data Scientist,18923,2023-02-10,2024-05-13,2022-08-02,8.7,True,7,5,1.4,0
EMP1683,31,Outro,Divorciado(a),Technical Degree,Remoto,2020-12-01,2022-01-30,Voluntária,Data Scientist,8796,2021-03-26,2020-12-17,2021-06-28,8.5,True,1,1,5.7,1
EMP1234,38,M,Viúvo(a),Bachelor,Presencial,2020-12-02,,,Tech Lead,6499,2023-09-06,2021-09-15,2023-03-20,9.3,True,8,3,9.8,0
EMP0555,24,F,Solteiro(a),PhD,Híbrido,2020-12-03,,,Junior Developer,17926,2021-10-30,2022-09-24,2022-03-09,7.4,True,7,4,3.8,0
EMP0051,35,Outro,Divorciado(a),Bachelor,Híbrido,2020-12-04,,,Tech Lead,24087,2022-05-30,2023-11-19,2024-04-29,8.9,True,8,6,5.1,0
EMP1759,28,M,Casado(a),Technical Degree,Presencial,2020-12-05,,,Senior Developer,16554,2024-02-17,2024-04-28,2023-02-10,6.8,False,7,3,5.5,0
EMP0245,49,Outro,Viúvo(a),Master,Presencial,2020-12-05,,,Data Scientist,5386,2022-08-26,2024-04-06,2024-02-13,8.1,False,2,1,7.3,0
EMP1376,36,Outro,Casado(a),Master,Presencial,2020-12-06,,,QA Engineer,13301,2022-05-18,2021-12-09,2023-10-30,7.3,False,2,1,3.6,0
EMP1038,53,Outro,Casado(a),PhD,Remoto,2020-12-06,,,Tech Lead,12824,2023-04-02,2023-09-11,2023-01-20,7.9,True,6,4,8.5,0
EMP0073,33,Outro,Solteiro(a),Master,Remoto,2020-12-06,,,Data Scientist,6917,2023-03-18,2023-08-27,2023-08-18,6.6,False,3,1,4.3,0
EMP0786,46,Outro,Casado(a),PhD,Híbrido,2020-12-08,,,QA Engineer,9180,2023-05-17,2022-06-26,2023-04-19,9.2,False,8,2,8.5,0
EMP0853,47,M,Casado(a),Technical Degree,Híbrido,2020-12-08,,,QA Engineer,19415,2021-05-26,2024-02-08,2021-02-09,6.3,False,3,1,9.4,0
EMP1493,40,Outro,Viúvo(a),PhD,Híbrido,2020-12-08,,,QA Engineer,10295,2021-12-19,2021-01-24,2021-08-21,9.3,True,9,1,3.6,0
EMP1546,54,F,Casado(a),Bachelor,Remoto,2020-12-08,,,DevOps Engineer,19662,2022-06-26,2024-03-19,2021-08-10,9.7,True,2,4,2.1,0
EMP1073,47,F,Solteiro(a),Technical Degree,Híbrido,2020-12-08,,,Data Scientist,23909,2022-02-14,2022-01-06,2021-08-23,8.5,True,8,6,7.2,0
EMP1872,51,Outro,Viúvo(a),Bachelor,Remoto,2020-12-09,2023-08-16,Voluntária,UX Designer,7643,2022-01-21,2022-04-10,2021-10-13,6.1,False,7,5,6.2,1
EMP1383,24,Outro,Solteiro(a),PhD,Remoto,2020-12-09,,,QA Engineer,10710,2024-10-13,2022-11-10,2023-06-25,8.7,True,8,2,8.8,0
EMP0856,36,M,Casado(a),PhD,Híbrido,2020-12-10,,,Tech Lead,9858,2023-07-04,2024-02-11,2023-09-20,8.1,True,8,5,5.7,0
EMP0784,39,F,Divorciado(a),Technical Degree,Remoto,2020-12-13,,,Senior Developer,7888,2021-09-23,2022-06-16,2022-08-21,6.2,True,9,2,6.0,0
EMP0302,27,M,Solteiro(a),Master,Presencial,2020-12-14,,,Data Scientist,16580,2021-12-07,2021-05-24,2024-05-15,7.7,False,3,6,7.6,0
EMP1648,26,F,Viúvo(a),Master,Presencial,2020-12-14,,,UX Designer,14421,2021-04-16,2022-07-18,2022-01-29,8.6,True,6,2,3.9,0
EMP1800,27,F,Solteiro(a),Technical Degree,Presencial,2020-12-15,,,UX Designer,20817,2022-07-16,2022-11-28,2024-05-05,6.9,False,5,2,2.3,0
EMP1784,34,F,Solteiro(a),Bachelor,Presencial,2020-12-16,2021-06-09,Voluntária,UX Designer,7324,2021-03-05,2021-05-21,2021-03-12,9.5,False,1,5,4.4,1
EMP0918,45,Outro,Casado(a),Master,Remoto,2020-12-19,,,QA Engineer,19380,2023-08-10,2021-05-17,2021-01-22,8.1,False,1,5,4.1,0
EMP1611,38,M,Viúvo(a),Master,Presencial,2020-12-20,,,Product Manager,21469,2023-09-15,2024-03-14,2021-07-03,9.4,True,9,4,1.8,0
EMP1810,54,M,Divorciado(a),Bachelor,Híbrido,2020-12-20,,,Senior Developer,23584,2024-09-07,2024-09-21,2021-05-28,7.6,True,3,1,4.2,0
EMP1101,49,F,Viúvo(a),Technical Degree,Remoto,2020-12-21,,,QA Engineer,13689,2022-01-19,2022-02-05,2021-04-18,9.8,True,2,7,9.3,0
EMP1245,46,F,Viúvo(a),PhD,Presencial,2020-12-21,,,DevOps Engineer,10465,2021-09-09,2021-07-21,2023-02-22,8.1,True,9,7,9.1,0
EMP1953,22,M,Viúvo(a),Technical Degree,Presencial,2020-12-23,,,DevOps Engineer,18404,2024-05-26,2021-03-10,2024-04-27,7.8,True,1,7,1.6,0
EMP1750,48,F,Divorciado(a),PhD,Presencial,2020-12-25,,,DevOps Engineer,11294,2022-01-26,2022-11-01,2022-11-17,7.1,False,2,3,9.4,0
EMP1967,36,Outro,Viúvo(a),Master,Remoto,2020-12-26,2021-12-14,Voluntária,Tech Lead,13650,2021-01-09,2021-08-31,2021-09-15,8.8,True,8,6,4.7,1
EMP1472,28,M,Divorciado(a),Technical Degree,Presencial,2020-12-27,2023-06-08,Voluntária,UX Designer,8209,2022-05-22,2021-05-13,2023-05-15,8.2,True,4,3,3.1,1
EMP1686,54,M,Solteiro(a),Technical Degree,Remoto,2020-12-28,,,Product Manager,7812,2023-06-15,2024-06-13,2023-09-27,7.3,False,6,5,1.9,0
EMP0795,24,Outro,Solteiro(a),Bachelor,Remoto,2020-12-29,,,Product Manager,10041,2023-03-24,2022-10-13,2022-08-17,6.5,True,4,5,6.4,0
EMP1107,36,F,Viúvo(a),Master,Híbrido,2020-12-29,,,Senior Developer,11665,2023-08-27,2024-04-13,2024-02-01,8.9,False,2,5,4.8,0
EMP1303,46,M,Viúvo(a),PhD,Presencial,2020-12-30,,,Junior Developer,23302,2022-05-29,2024-02-15,2021-05-23,8.6,True,6,2,7.1,0
EMP1900,48,F,Casado(a),Bachelor,Presencial,2020-12-31,,,Senior Developer,9297,2024-08-13,2023-10-04,2021-08-10,8.9,False,4,7,3.7,0
EMP1443,23,Outro,Solteiro(a),Master,Presencial,2020-12-31,,,DevOps Engineer,12935,2023-09-02,2022-10-04,2022-12-25,9.6,True,9,5,7.8,0
EMP0124,41,F,Viúvo(a),PhD,Híbrido,2020-12-31,,,Junior Developer,13073,2024-04-03,2022-06-27,2021-03-19,7.9,False,8,3,8.7,0
EMP1710,45,F,Casado(a),PhD,Presencial,2021-01-01,,,UX Designer,19770,2021-04-16,2023-05-10,2022-09-23,7.7,False,6,2,4.2,0
EMP0945,53,M,Casado(a),PhD,Híbrido,2021-01-01,,,Data Scientist,16652,2021-03-14,2024-02-07,2024-09-04,8.5,False,5,4,3.0,0
EMP0223,26,Outro,Solteiro(a),Technical Degree,Híbrido,2021-01-02,,,UX Designer,5645,2022-09-13,2021-01-30,2023-12-31,8.8,False,9,3,9.1,0
EMP0678,38,M,Casado(a),PhD,Híbrido,2021-01-03,2021-11-06,Involuntária,Tech Lead,8400,2021-08-06,2021-07-13,2021-07-17,6.3,True,4,4,6.0,1
EMP1954,25,M,Casado(a),PhD,Híbrido,2021-01-03,2023-11-22,Involuntária,UX Designer,13704,2021-07-02,2022-09-11,2022-12-16,7.0,True,7,2,3.2,1
EMP1699,29,Outro,Casado(a),Bachelor,Remoto,2021-01-03,,,Data Scientist,5094,2024-04-15,2024-01-27,2021-10-07,6.6,True,9,5,3.1,0
EMP0393,26,F,Solteiro(a),PhD,Presencial,2021-01-04,,,Tech Lead,17948,2022-07-17,2022-09-28,2022-11-30,9.3,False,8,7,7.3,0
EMP1204,43,Outro,Divorciado(a),Master,Híbrido,2021-01-06,,,Product Manager,19751,2024-06-10,2023-02-22,2023-01-10,9.3,False,9,3,3.0,0
EMP1030,24,F,Solteiro(a),Master,Remoto,2021-01-07,,,QA Engineer,12440,2024-05-24,2022-10-20,2024-06-12,6.5,False,3,6,5.1,0
EMP0505,48,M,Solteiro(a),Bachelor,Remoto,2021-01-08,,,Junior Developer,9943,2021-10-11,2021-05-17,2023-08-03,9.9,True,3,7,6.7,0
EMP1140,38,F,Viúvo(a),Master,Remoto,2021-01-09,2022-12-27,Involuntária,Product Manager,10539,2022-11-10,2021-04-10,2021-08-24,8.8,True,5,4,4.2,1
EMP1454,42,M,Divorciado(a),Master,Híbrido,2021-01-09,,,Junior Developer,8497,2023-11-21,2022-08-05,2023-04-03,6.4,True,7,7,9.7,0
EMP1283,52,F,Divorciado(a),Master,Remoto,2021-01-11,,,QA Engineer,12389,2023-12-13,2021-05-30,2023-11-11,7.7,False,4,7,1.7,0
EMP1465,42,F,Casado(a),Bachelor,Remoto,2021-01-11,,,UX Designer,22225,2023-10-29,2023-05-29,2022-03-18,6.3,True,6,2,2.3,0
EMP0228,35,M,Divorciado(a),Bachelor,Presencial,2021-01-12,,,DevOps Engineer,15449,2021-04-27,2022-06-13,2023-09-17,8.6,False,7,3,2.0,0
EMP0650,39,M,Divorciado(a),Master,Híbrido,2021-01-13,,,DevOps Engineer,18289,2021-10-27,2023-09-17,2022-11-06,9.9,True,8,3,4.5,0
EMP1527,38,Outro,Casado(a),Technical Degree,Presencial,2021-01-15,,,Data Scientist,7031,2021-08-12,2022-08-15,2022-07-20,7.4,False,9,5,3.5,0
EMP1655,38,M,Solteiro(a),Bachelor,Remoto,2021-01-16,,,Product Manager,7488,2022-02-27,2023-11-07,2023-08-11,7.0,True,3,5,6.3,0
EMP0639,44,Outro,Viúvo(a),PhD,Presencial,2021-01-16,,,Data Scientist,7510,2022-08-31,2021-04-02,2021-02-03,9.5,True,2,4,1.9,0
EMP0834,32,M,Solteiro(a),Master,Híbrido,2021-01-17,,,Product Manager,5815,2023-02-05,2022-11-15,2022-02-24,9.3,False,8,7,1.4,0
EMP1275,27,F,Solteiro(a),PhD,Híbrido,2021-01-17,,,DevOps Engineer,24874,2022-01-07,2023-12-05,2021-09-18,6.9,False,7,4,7.9,0
EMP1560,54,M,Divorciado(a),PhD,Remoto,2021-01-17,,,Tech Lead,12081,2024-02-04,2022-12-30,2022-11-10,8.6,False,3,5,1.6,0
EMP1061,32,Outro,Divorciado(a),Technical Degree,Híbrido,2021-01-17,,,DevOps Engineer,19896,2023-07-18,2021-04-18,2022-07-10,7.3,False,7,2,9.0,0
EMP1760,25,Outro,Divorciado(a),PhD,Presencial,2021-01-18,,,DevOps Engineer,8009,2024-05-20,2021-09-14,2022-10-11,8.7,False,6,4,7.7,0
EMP0995,22,Outro,Divorciado(a),Master,Híbrido,2021-01-18,,,Senior Developer,11208,2022-08-04,2022-08-14,2023-07-20,6.2,False,6,6,7.4,0
EMP1095,39,M,Divorciado(a),Bachelor,Remoto,2021-01-19,,,QA Engineer,11856,2023-07-12,2022-03-27,2023-05-02,9.6,True,5,7,5.5,0
EMP1523,23,M,Divorciado(a),PhD,Remoto,2021-01-20,,,Senior Developer,7816,2021-06-09,2022-01-28,2021-10-26,7.2,False,7,7,4.1,0
EMP1832,44,M,Solteiro(a),Master,Presencial,2021-01-20,2024-04-01,Voluntária,Product Manager,15000,2023-03-18,2023-01-27,2023-05-24,8.1,True,9,4,7.1,1
EMP1516,52,Outro,Casado(a),Master,Presencial,2021-01-21,,,QA Engineer,15983,2023-05-14,2024-03-14,2023-07-05,6.0,True,2,4,7.3,0
EMP1569,31,M,Solteiro(a),Master,Híbrido,2021-01-23,,,UX Designer,19538,2024-01-01,2023-11-07,2024-02-26,8.1,False,1,4,6.8,0
EMP1586,44,M,Solteiro(a),Technical Degree,Híbrido,2021-01-23,,,UX Designer,17803,2022-02-22,2024-01-05,2024-09-29,9.6,False,4,4,9.1,0
EMP0078,53,Outro,Solteiro(a),Master,Híbrido,2021-01-23,,,DevOps Engineer,14184,2022-09-22,2022-04-13,2021-05-22,6.9,True,7,2,5.9,0
EMP0715,38,Outro,Solteiro(a),PhD,Híbrido,2021-01-24,,,Data Scientist,12320,2021-09-21,2023-10-01,2022-06-04,9.6,False,7,2,3.0,0
EMP0710,29,M,Solteiro(a),PhD,Remoto,2021-01-25,,,UX Designer,23320,2021-05-10,2022-07-28,2023-03-08,8.7,False,9,2,2.2,0
EMP0220,22,Outro,Viúvo(a),Technical Degree,Híbrido,2021-01-27,,,QA Engineer,7307,2022-04-15,2023-10-15,2022-08-16,9.2,False,6,3,8.9,0
EMP0134,54,F,Viúvo(a),Technical Degree,Remoto,2021-01-27,,,Senior Developer,11368,2023-06-07,2024-10-19,2023-03-14,6.4,True,1,5,1.7,0
EMP0068,38,Outro,Casado(a),Master,Remoto,2021-01-27,,,Junior Developer,8596,2022-02-20,2024-01-30,2023-08-03,8.4,False,3,1,5.5,0
EMP0615,46,M,Solteiro(a),Bachelor,Remoto,2021-01-28,,,Tech Lead,5078,2022-06-16,2022-08-22,2024-03-15,7.9,True,2,3,9.4,0
EMP1956,29,Outro,Divorciado(a),Bachelor,Remoto,2021-01-28,,,Junior Developer,18215,2021-09-25,2024-01-18,2021-08-11,9.1,True,3,3,3.3,0
EMP0745,54,Outro,Solteiro(a),Technical Degree,Presencial,2021-01-28,,,Senior Developer,9287,2024-07-20,2024-01-11,2022-06-28,8.3,True,6,4,3.6,0
EMP1535,25,M,Divorciado(a),Bachelor,Presencial,2021-01-28,,,Senior Developer,22528,2022-06-24,2023-03-20,2021-02-22,6.8,True,1,3,2.3,0
EMP1923,54,Outro,Casado(a),PhD,Híbrido,2021-01-30,2021-04-21,Voluntária,DevOps Engineer,18090,2021-04-15,2021-03-01,2021-04-02,9.7,False,7,6,2.4,1
EMP0222,52,Outro,Divorciado(a),Technical Degree,Presencial,2021-02-01,,,Tech Lead,15592,2022-09-30,2022-05-12,2023-02-10,6.1,False,2,2,1.7,0
EMP0470,27,M,Divorciado(a),Master,Remoto,2021-02-01,2023-03-26,Voluntária,Data Scientist,6378,2022-12-27,2022-09-08,2022-04-28,6.2,True,2,1,4.3,1
EMP0726,51,Outro,Viúvo(a),PhD,Remoto,2021-02-05,,,UX Designer,15006,2022-12-12,2022-05-22,2023-03-24,9.4,True,7,7,2.8,0
EMP0557,28,F,Divorciado(a),Master,Remoto,2021-02-06,2024-09-28,Voluntária,Junior Developer,9378,2024-03-10,2022-08-22,2021-10-20,7.0,True,4,3,7.6,1
EMP1340,36,Outro,Casado(a),PhD,Remoto,2021-02-06,,,Product Manager,11532,2022-07-30,2024-08-12,2021-07-12,9.6,False,9,2,8.1,0
EMP0989,24,M,Viúvo(a),PhD,Presencial,2021-02-08,,,DevOps Engineer,21254,2024-09-22,2023-08-05,2021-10-29,9.3,True,4,2,6.8,0
EMP0986,24,F,Solteiro(a),Bachelor,Presencial,2021-02-09,,,DevOps Engineer,8536,2023-05-10,2023-03-13,2024-08-22,6.0,False,5,4,5.5,0
EMP0043,38,M,Casado(a),Technical Degree,Híbrido,2021-02-11,,,Tech Lead,12186,2021-12-21,2023-03-18,2022-01-07,7.6,False,9,3,1.8,0
EMP0592,32,F,Viúvo(a),Technical Degree,Híbrido,2021-02-11,2024-07-28,Voluntária,QA Engineer,10577,2023-12-20,2023-05-14,2023-12-02,9.0,False,4,3,6.8,1
EMP1538,41,F,Viúvo(a),Technical Degree,Remoto,2021-02-11,2023-10-12,Voluntária,Data Scientist,5976,2023-03-05,2023-04-11,2021-05-18,7.8,False,5,7,3.4,1
EMP1157,43,Outro,Divorciado(a),Bachelor,Híbrido,2021-02-12,,,Tech Lead,21555,2023-03-18,2021-03-12,2022-12-03,7.7,True,5,3,7.8,0
EMP1000,47,M,Viúvo(a),PhD,Híbrido,2021-02-12,,,Tech Lead,10807,2024-09-20,2024-01-24,2022-07-07,9.7,True,3,3,8.2,0
EMP0473,46,M,Solteiro(a),Master,Híbrido,2021-02-12,,,QA Engineer,11191,2024-07-04,2021-11-22,2022-07-09,6.7,True,9,4,6.2,0
EMP1638,50,F,Viúvo(a),Technical Degree,Remoto,2021-02-12,,,Junior Developer,20642,2023-03-19,2021-12-28,2021-08-06,8.6,False,9,7,8.1,0
EMP0185,50,M,Casado(a),Master,Remoto,2021-02-12,,,QA Engineer,13906,2021-03-25,2024-08-07,2021-12-21,8.0,False,6,1,6.5,0
EMP1973,23,F,Viúvo(a),Master,Presencial,2021-02-13,,,Tech Lead,8055,2023-03-24,2022-05-10,2021-07-13,6.5,False,5,4,6.3,0
EMP1777,32,Outro,Viúvo(a),Technical Degree,Presencial,2021-02-14,2022-04-14,Voluntária,QA Engineer,15232,2021-07-10,2021-07-05,2021-11-13,6.8,True,1,4,6.1,1
EMP1766,48,F,Casado(a),Bachelor,Híbrido,2021-02-17,,,Product Manager,6093,2021-08-25,2023-08-14,2023-12-20,9.2,False,2,5,8.2,0
EMP1075,45,F,Casado(a),Technical Degree,Remoto,2021-02-17,,,QA Engineer,14408,2024-08-24,2021-12-16,2024-06-19,8.8,True,8,1,4.9,0
EMP1386,36,M,Casado(a),Technical Degree,Híbrido,2021-02-18,2024-02-23,Involuntária,Tech Lead,19431,2023-12-17,2023-06-27,2021-12-21,6.9,False,5,5,4.2,1
EMP1448,29,M,Casado(a),Bachelor,Presencial,2021-02-19,,,Data Scientist,8672,2022-07-15,2024-08-08,2023-02-18,7.4,True,1,4,9.4,0
EMP0266,34,M,Viúvo(a),Master,Híbrido,2021-02-20,2022-09-19,Voluntária,UX Designer,10185,2022-09-05,2021-07-04,2021-12-11,6.3,True,2,2,3.2,1
EMP0100,33,M,Solteiro(a),Bachelor,Presencial,2021-02-20,,,Junior Developer,7969,2024-09-10,2022-08-14,2023-12-22,7.6,False,2,4,9.6,0
EMP1265,22,M,Divorciado(a),Bachelor,Presencial,2021-02-21,,,DevOps Engineer,12494,2024-03-05,2021-04-28,2023-02-25,6.8,False,1,6,6.3,0
EMP0410,26,Outro,Viúvo(a),Technical Degree,Presencial,2021-02-22,,,Product Manager,7017,2022-11-01,2022-04-30,2021-11-30,6.7,False,9,2,9.1,0
EMP1048,36,Outro,Divorciado(a),Master,Remoto,2021-02-24,,,UX Designer,12248,2022-03-20,2023-06-12,2024-04-03,7.7,True,1,7,2.5,0
EMP0911,38,F,Viúvo(a),PhD,Remoto,2021-02-24,2024-02-19,Involuntária,UX Designer,7456,2024-01-03,2022-03-17,2023-05-07,7.7,True,5,6,5.7,1
EMP0961,24,F,Viúvo(a),PhD,Remoto,2021-02-24,,,QA Engineer,20739,2024-02-14,2022-06-26,2023-07-03,6.5,False,2,5,8.6,0
EMP1401,36,Outro,Casado(a),Technical Degree,Presencial,2021-02-24,,,Tech Lead,19659,2022-12-02,2023-06-11,2023-03-07,8.6,False,2,2,9.4,0
EMP1300,32,F,Divorciado(a),Bachelor,Remoto,2021-02-25,2024-04-01,Voluntária,Product Manager,23748,2023-08-05,2021-07-22,2022-01-05,9.4,True,5,4,1.1,1
EMP1951,35,F,Divorciado(a),Master,Presencial,2021-02-26,,,DevOps Engineer,5394,2021-12-16,2024-09-28,2022-09-03,7.0,False,3,5,1.3,0
EMP0165,46,F,Viúvo(a),PhD,Presencial,2021-02-27,,,Tech Lead,16543,2023-07-07,2023-05-05,2024-06-07,6.5,True,4,2,4.0,0
EMP1720,32,F,Solteiro(a),Bachelor,Presencial,2021-03-01,,,Tech Lead,16439,2021-06-09,2022-03-14,2021-12-29,8.2,False,5,6,6.4,0
EMP1756,38,F,Casado(a),Technical Degree,Presencial,2021-03-02,2024-06-26,Voluntária,Product Manager,18783,2023-01-10,2023-02-24,2021-07-15,9.2,False,3,1,3.6,1
EMP0864,43,Outro,Solteiro(a),Technical Degree,Híbrido,2021-03-05,,,UX Designer,15002,2024-06-21,2023-02-21,2024-08-05,9.0,True,3,7,5.3,0
EMP1319,24,Outro,Divorciado(a),Technical Degree,Remoto,2021-03-06,,,DevOps Engineer,22549,2023-02-08,2022-05-13,2023-06-29,8.6,True,6,1,8.0,0
EMP1870,50,M,Divorciado(a),PhD,Presencial,2021-03-07,2024-07-02,Voluntária,Senior Developer,7005,2023-02-11,2021-06-26,2022-08-30,9.4,True,4,4,3.4,1
EMP1461,23,Outro,Solteiro(a),Technical Degree,Remoto,2021-03-07,,,Product Manager,14864,2023-04-23,2024-06-08,2021-09-29,6.5,True,2,4,5.0,0
EMP1495,25,M,Viúvo(a),Bachelor,Híbrido,2021-03-07,2022-03-13,Involuntária,UX Designer,20339,2021-09-26,2021-04-28,2021-04-24,8.1,True,2,1,1.7,1
EMP0027,54,Outro,Solteiro(a),Bachelor,Presencial,2021-03-08,,,Tech Lead,6816,2024-05-12,2022-12-12,2022-05-17,7.6,False,3,6,1.9,0
